macro,comuna,organización
Provincia de Chacabuco,Colina,Modatima Colina
Provincia de Chacabuco,Colina,Fundación Canquén Verde
Provincia de Chacabuco,Colina,Colina Feminista
Provincia de Chacabuco,Colina,Con las amigas y en Casa Colina
Provincia de Chacabuco,Colina,Río Colina
Provincia de Chacabuco,Colina,"Movimiento Socio-Ambiental
Investiga Colina"
Provincia de Chacabuco,Colina,Feministas Kolina
Provincia de Chacabuco,Colina,Flora Nativa Colina
Provincia de Chacabuco,Colina,Acción Ambiental Colina
Provincia de Chacabuco,Colina,Imagina Colina
Provincia de Chacabuco,Colina,Gritonxs Colina
Provincia de Chacabuco,Colina,Colina Mujeres Unidas
Provincia de Chacabuco,Colina,"Brujas Liceo San Sebastián
de Colina"
Provincia de Chacabuco,Colina,Las Perras Violetas
Provincia de Chacabuco,Lampa,"Brigada Ramona
Parra Lampa"
Provincia de Chacabuco,Lampa,BatucoFem
Provincia de Chacabuco,Lampa,Feministas Lampa
Provincia de Chacabuco,Til Til,"Asociación Progresistas
de Til Til"
Provincia Cordillera,Pirque,Feministas x Pirque
Provincia Cordillera,Pirque,"Colectiva Rural
La Trenza"
Provincia Cordillera,Pirque,Feministas Pirque
Provincia Cordillera,Puente Alto,AFEM Puente Alto
Provincia Cordillera,Puente Alto,Colectiva Alba Violeta
Provincia Cordillera,Puente Alto,"Red de Mujeres de 
Puente Alto por La
Igualdad de Derechos"
Provincia Cordillera,Puente Alto,"Las Candelarias
Puente Alto"
Provincia Cordillera,Puente Alto,Paquenu Puente Alto
Provincia Cordillera,San José de Maipo,"Ni Una Menos
Población Victoria"
Provincia Cordillera,San José de Maipo,Jovenes Cajoninas
Provincia Cordillera,San José de Maipo,Resistencia Feminista Maipo
Provincia Cordillera,San José de Maipo,Mujeres del Maipo
Provincia Cordillera,San José de Maipo,Colectivo Vamos Mujer
Provincia Cordillera,San José de Maipo,"Apruebo Mujer
San José de Maipo"
Provincia Cordillera,San José de Maipo,"Mesa de Mujeres
Cajón del Maipo"
Provincia del Maipo,Buin,Colectiva Feminista Buin
Provincia del Maipo,Buin,Voces Feministas Buin
Provincia del Maipo,Calera de Tango,Alerta Mujeres Calera de Tango
Provincia del Maipo,Calera de Tango,Las Guachas de Tango
Provincia del Maipo,Calera de Tango,Violetas de Hierro
Provincia del Maipo,Paine,Aquelarre Feminista Paine
Provincia del Maipo,Paine,Coordinadora Feminista Paine
Provincia del Maipo,San Bernardo,Colectiva Feminista SNBK
Provincia del Maipo,San Bernardo,Colectiva Úteras Combativas
Provincia del Maipo,San Bernardo,Acriva Nova Vida
Provincia del Maipo,San Bernardo,Colectiva Renacer FEM
Provincia del Maipo,San Bernardo,"Agrupación de Mujeres
San Bernardo"
Provincia de Melipilla,Alhué,FEM Alhué
Provincia de Melipilla,Curacaví,8M Feminista Curacaví
Provincia de Melipilla,Maria Pinto,"Asamblea Territorial
María Pinto"
Provincia de Melipilla,Melipilla,Las Violetas
Provincia de Melipilla,Melipilla,Colectiva Helena
Provincia de Melipilla,Melipilla,"Colectiva Macarena
Valdés ""La Negra"""
Provincia de Talagante,El Monte,Colectiva Cabras del Monte
Provincia de Talagante,Isla de Maipo,Inquietas (colectiva)
Provincia de Talagante,Padre Hurtado,Madre Hurtade
Provincia de Talagante,Peñaflor,Mujeres del Barrio
Provincia de Talagante,Talagante,Feministas en Acción
Provincia de Talagante,Talagante,Chúcaras
Provincia de Talagante,Talagante,Periféricas
Provincia de Santiago,Cerrillos,A la Suerte de la Olla
Provincia de Santiago,Cerrillos,Cerrilleras
Provincia de Santiago,Cerrillos,Asamblea General Cerrillos
Provincia de Santiago,Cerrillos,"Movimiento Socioambiental
Cerrillos (MOSACAT)"
Provincia de Santiago,Cerrillos,"Cooperativa Popular
de Apoyo Mutuo"
Provincia de Santiago,Cerrillos,"Coordinadora Feminista
Teresa Flores Cerrillos"
Provincia de Santiago,Cerrillos,Acción Comunitaria Cerillos
Provincia de Santiago,Cerrillos,Coordinadora Gabriela Paz
Provincia de Santiago,Cerro Navia,"Asamblea Cerro 
Navia Feminista"
Provincia de Santiago,Cerro Navia,Cerro Navia Pedalea
Provincia de Santiago,Cerro Navia,Cerro Navia Participa
Provincia de Santiago,Comuna de Santiago,"Preuniversitario
Mara Rita"
Provincia de Santiago,Comuna de Santiago,ConcienciaFem
Provincia de Santiago,Comuna de Santiago,Kilombo Negrocentricxs
Provincia de Santiago,Comuna de Santiago,"Colectiva Feminista
Santa Ana"
Provincia de Santiago,Comuna de Santiago,"Lesbodisidentes
de Abya Yala"
Provincia de Santiago,Comuna de Santiago,Viaja Segura
Provincia de Santiago,Comuna de Santiago,Colectivo Cons-pirando
Provincia de Santiago,Comuna de Santiago,Colectivo Agar
Provincia de Santiago,Comuna de Santiago,"Rangiñtulewfü Colectivo Mapuche
(Ex Colectivo mapuche feminista Rangiñtulewfü)"
Provincia de Santiago,Comuna de Santiago,"Acción Ecuménica contra la
violencia hacia las mujeres"
Provincia de Santiago,Conchalí,Asociación Mapuche Conchalí
Provincia de Santiago,Conchalí,Olla Común Conchalí
Provincia de Santiago,Conchali,Colectiva Kullay Conchalí
Provincia de Santiago,El Bosque,"Educación Popular
en Salud (EPES)"
Provincia de Santiago,El Bosque,"Red Intersectorial de Trabajo
por la no Violencia contra
las Mujeres de El Bosque"
Provincia de Santiago,El Bosque,"Bosquinas
en Movimiento"
Provincia de Santiago,Estación Central,"Red Mujeres
Estación Central"
Provincia de Santiago,Huechuraba,"Agrupacion de Allegados
de Huechuraba"
Provincia de Santiago,Independencia,"Asamblea Territorial
de Independencia"
Provincia de Santiago,Independencia,Asamblea Plaza San Luis
Provincia de Santiago,La Cisterna,Mujeres en Red La Cisterna
Provincia de Santiago,La Cisterna,La Cisterna Feminista
Provincia de Santiago,La Cisterna,"Capuchas moradas
La Cisterna"
Provincia de Santiago,La Florida,Red Feminista La Florida
Provincia de Santiago,La Florida,"Asamblea Feminista
Maleza Silvestre"
Provincia de Santiago,La Florida,"Asamblea de
Mujeres Trinidad"
Provincia de Santiago,La Florida,"Circulo Mujeres
Organizadas"
Provincia de Santiago,La Florida,Colectiva Sorora
Provincia de Santiago,La Florida,Colectivo Teresa Flores
Provincia de Santiago,La Granja,Asamblea Popular VUSA
Provincia de Santiago,La Granja,"Movimiento Femenino
Bahía Catalina"
Provincia de Santiago,La Granja,"Poder Femenino
La Granja"
Provincia de Santiago,La Pintana,"Movimiento Feminista
La Pintana"
Provincia de Santiago,La Pintana,"Casa de la Mujer
Gabriela"
Provincia de Santiago,La Pintana,Feministas La Pintana
Provincia de Santiago,La Reina,Colectiva Mosaikos
Provincia de Santiago,La Reina,"Asamblea Jovenes
La Reina"
Provincia de Santiago,La Reina,Feministas La Reina
Provincia de Santiago,La Reina,"Movimiento Mujeres
La Reina"
Provincia de Santiago,La Reina,"Mesa de Mujeres
La Reina"
Provincia de Santiago,Las Condes,Las Irreverentes
Provincia de Santiago,Las Condes,"Frente Feminista
Teresa Flores"
Provincia de Santiago,Las Condes,Fem Las Condes
Provincia de Santiago,Lo Barnechea,"Red Mujer
Lo Barnechea"
Provincia de Santiago,Lo Barnechea,Feministas Barnechea
Provincia de Santiago,Lo Barnechea,Trawun
Provincia de Santiago,Lo Barnechea,"Agrupación Humedal
Los Trapenses"
Provincia de Santiago,Lo Espejo,"Colectiva Feminista
de Lo Espejo"
Provincia de Santiago,Lo Prado,Pedal Lo Prado
Provincia de Santiago,Macul,"Mujeres Organizadas
VIMA SUR"
Provincia de Santiago,Macul,Mujeres de Macul
Provincia de Santiago,Macul,"Mujeres Sobreviventes
Siempre Resistentes"
Provincia de Santiago,Maipú,AniMalas Colectiva
Provincia de Santiago,Maipú,"Rotas Movilizadas
Las Parcelas"
Provincia de Santiago,Maipú,"Asamblea Mujeres
y Disidencias"
Provincia de Santiago,Maipú,"Asamblea de Mujeres
y Disidencias Maipú"
Provincia de Santiago,Maipú,Colectiva Gatas Negras
Provincia de Santiago,Maipú,Orgánica Maipú
Provincia de Santiago,Maipú,"Asamblea Territorial
La Farfana"
Provincia de Santiago,Maipú,Colectiva AlhueFem
Provincia de Santiago,Maipú,"Fémina. Traslado
Feminsta Maipú"
Provincia de Santiago,Ñuñoa,"Colectivo Feminista
Secundario Amanda Labarca
y Olga Poblete"
Provincia de Santiago,Ñuñoa,Feministas Ñuñoa
Provincia de Santiago,Ñuñoa,Feministas Plaza Franke
Provincia de Santiago,Ñuñoa,"Grupo de Estudios
Mujeres Decolonizando"
Provincia de Santiago,Ñuñoa,Sororas Cambatientes
Provincia de Santiago,Ñuñoa,"Asamblea Feminista
Villa Frei"
Provincia de Santiago,Ñuñoa,"Asamblea Feminista
Plaza Ñuñoa"
Provincia de Santiago,Ñuñoa,"Asamblea de
Mujeres Disidentes"
Provincia de Santiago,Pedro Aguirre Cerda,Asamblea Poblacion Dávila
Provincia de Santiago,Pedro Aguirre Cerda,Asamblea Feminista PAC
Provincia de Santiago,Peñalolen,Feministas Lo Hermida
Provincia de Santiago,Peñalolen,CABRAS PEÑA ALTO
Provincia de Santiago,Peñalolen,"Coordinadora Feminista
Peñalolen"
Provincia de Santiago,Peñalolen,"Comisión de Género del
Comunal Mario Zamorano
de Peñalolén"
Provincia de Santiago,Peñalolen,"Colectiva Feminista
Ciclo Acción"
Provincia de Santiago,Peñalolen,"Colectivo de Mujeres
de Peñalolen"
Provincia de Santiago,Peñalolen,"MALVA (Movimiento
Agroecológico por la
Libertad de las
Variedades Ancestrales"
Provincia de Santiago,Peñalolen,Peña Sorora
Provincia de Santiago,Peñalolen,Pobladoras Lo Hermida
Provincia de Santiago,Providencia,Colectivo Inés de Suarez
Provincia de Santiago,Providencia,FEMTEI
Provincia de Santiago,Providencia,Feministas Providencia
Provincia de Santiago,Pudahuel,"Sororas y revolucionarias
Pudahuel"
Provincia de Santiago,Pudahuel,"Asamblea Popular
de Pudahuel"
Provincia de Santiago,Pudahuel,Colectiva Periferikas Pudahuel
Provincia de Santiago,Pudahuel,Colectiva Perra Kiltra
Provincia de Santiago,Pudahuel,Acción Furtar
Provincia de Santiago,Pudahuel,Pedahuel Fem
Provincia de Santiago,Pudahuel,Cletahuel Norte
Provincia de Santiago,Pudahuel,Colectiva Criando Ando
