universidad,sede facultad,organización
Instituto Profesional DUOC UC,Sede San Carlos de Apoquindo,"Secretaría de Género
DUOC UC SC"
Universidad de Chile,FCFM,"Secretaría de Sexualidades
y Género Beauchef"
Universidad de Chile,Campus Sur,"Secretaría de Sexualidades
y Género Antumapu"
Universidad de Chile,Campus Sur,Orgullo Campus Sur
Universidad de Chile,Artes,Asamblea Feminista Encinas
Universidad de Chile,Ciencias,"Secretaría de Sexualidades
y Género Ciencias"
Universidad de Chile,FCFM,Asamblea Beauchefianas
Universidad de Chile,FCFM,Colectiva Justicia Espada
Universidad de Chile,FCQyF,"Secretaria de Sexualidades
y Género Cs Químicas"
Universidad de Chile,FCQyF,"Acción Feminista
FaCIQyF"
Universidad de Chile,Ciencas Sociales,Toma Feminista Facso
Universidad de Chile,INAP,Diversinap
Universidad de Chile,FCFM,Beauchef Diverso
Universidad de Chile,Derecho,"Secretaría de Género y
Sexualidades Derecho"
Universidad de Chile,FEN,Secretaría Feminista FEN
Universidad de Chile,FFyHH,"Dirección de Igualdad
de Género y
Diversidades Sexuales"
Universidad de Chile,FFyHH,"Secretaría de Sexualidades
y Género Humanidades"
Universidad de Chile,Medicina,Asamblea Mujeres Salud
Universidad de Chile,Medicina,"Secretaría de Sexualidades
y Géneros Salud"
Universidad de Chile,ICEI,"Secretaría de Sexualidades
y Géneros ICEI"
Universidad de Chile,ICEI,Feministas ICEI
Universidad Andres Bello,Campus Casona,"Secretaría de Género y
Diversidad Sexual Casona"
Universidad Andres Bello,Campus República,"Secretaría de Género y
Diversidad Sexual Republica"
Universidad Central,Facultad de Educación,"Asamblea de
Mujeres FECS"
Universidad de Santiago de Chile,Dpto. Educación,"Secretaría de Sexualidades
y Género EGB"
Universidad de Valparaíso,Santiago,Disidentes UV Santiago
Universidad de Valparaíso,Santiago,"Colectiva 
Comandante Ramona"
Universidad Diego Portales,FCSH,"Secretaría de Sexualidades
y Género FCSH"
Universidad Diego Portales,FDE,"Secretaría de Género
y Sexualidades FDE"
Universidad Diego Portales,Facultad de Salud y Odontología,"Secretaría de Género y
Sexualidades OBSTE UDP"
Universidad Mayor,Sede Santiago,"Vocalía de Género y
Sexualidades UMayor"
Universidad Mayor,Sede Temuco,Serendipia Queer
Universidad San Sebastián,Facultad de Medicina y Ciencia,"Secretaría de Sexualidades
y Género Medicina"
Universidad Técnica Federico Santa María,Casa Central,VODIGEX UTFSM
Universidad Técnica Federico Santa María,Casa Central,"Movimiento Feminista
UTFSM CC"
